Publication,Type,Method,Period,Revenue,Subscribers,Subscriptions,ARPU,Cancelations,Reason,Voluntary Churn,Involuntary Churn
All,All,All,2024-10-19,1409,2580,12900,0.546124031007752,258,Deaseaed,Yes,No
All,All,All,2024-10-20,1223,2077,18693,0.5888300433317285,207,Expired CC,Yes,Yes
All,All,All,2024-10-21,1240,170,850,7.294117647058823,17,Deaseaed,No,Yes
All,All,All,2024-10-22,1242,483,4830,2.5714285714285716,48,Expired CC,Yes,No
All,All,All,2024-10-23,1015,570,5700,1.780701754385965,57,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1044,2334,23340,0.4473007712082262,233,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1040,2722,19054,0.38207200587803086,272,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1438,1862,11172,0.7722878625134264,186,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1494,2014,6042,0.7418073485600795,201,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1146,291,873,3.9381443298969074,29,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1141,1338,4014,0.8527653213751868,133,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1341,2222,19998,0.6035103510351035,222,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1069,2282,9128,0.4684487291849255,228,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1044,2334,23340,0.4473007712082262,233,Expired CC,Yes,No
All,All,All,2024-10-17,1040,2722,19054,0.38207200587803086,272,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1438,1862,11172,0.7722878625134264,186,Expired CC,No,Yes
All,All,All,2024-10-19,1494,2014,6042,0.7418073485600795,201,Deaseaed,Yes,No
All,All,All,2024-10-20,1146,291,873,3.9381443298969074,29,Expired CC,Yes,Yes
All,All,All,2024-10-21,1141,1338,4014,0.8527653213751868,133,Deaseaed,No,Yes
All,All,All,2024-10-22,1341,2222,19998,0.6035103510351035,222,Expired CC,Yes,No
All,All,All,2024-10-23,1069,2282,9128,0.4684487291849255,228,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1297,1272,12720,1.0196540880503144,127,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1176,1299,3897,0.9053117782909931,129,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1354,2661,10644,0.5088312664411875,266,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1279,305,2135,4.19344262295082,30,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1311,1876,16884,0.6988272921108742,187,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1207,1726,10356,0.6993047508690614,172,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1121,2707,16242,0.41411156261544146,270,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1442,1153,2306,1.2506504770164788,115,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1297,1272,12720,1.0196540880503144,127,Expired CC,Yes,No
All,All,All,2024-10-17,1176,1299,3897,0.9053117782909931,129,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1354,2661,10644,0.5088312664411875,266,Expired CC,No,Yes
All,All,All,2024-10-19,1279,305,2135,4.19344262295082,30,Deaseaed,Yes,No
All,All,All,2024-10-20,1311,1876,16884,0.6988272921108742,187,Expired CC,Yes,Yes
All,All,All,2024-10-21,1207,1726,10356,0.6993047508690614,172,Deaseaed,No,Yes
All,All,All,2024-10-22,1121,2707,16242,0.41411156261544146,270,Expired CC,Yes,No
All,All,All,2024-10-23,1442,1153,2306,1.2506504770164788,115,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1296,2048,20480,0.6328125,204,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1440,787,787,1.8297331639135959,78,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1357,408,2856,3.325980392156863,40,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1265,230,1840,5.5,23,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1176,960,9600,1.225,96,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1269,2645,13225,0.479773156899811,264,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1406,2448,9792,0.5743464052287581,244,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1100,2315,2315,0.47516198704103674,231,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1296,2048,20480,0.6328125,204,Expired CC,Yes,No
All,All,All,2024-10-17,1440,787,787,1.8297331639135959,78,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1357,408,2856,3.325980392156863,40,Expired CC,No,Yes
All,All,All,2024-10-19,1265,230,1840,5.5,23,Deaseaed,Yes,No
All,All,All,2024-10-20,1176,960,9600,1.225,96,Expired CC,Yes,Yes
All,All,All,2024-10-21,1269,2645,13225,0.479773156899811,264,Deaseaed,No,Yes
All,All,All,2024-10-22,1406,2448,9792,0.5743464052287581,244,Expired CC,Yes,No
All,All,All,2024-10-23,1100,2315,2315,0.47516198704103674,231,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1232,1440,12960,0.8555555555555555,144,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1430,2612,10448,0.5474732006125574,261,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1500,2518,12590,0.5957108816521048,251,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1013,1046,4184,0.9684512428298279,104,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1089,2715,24435,0.4011049723756906,271,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1129,169,1521,6.680473372781065,16,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1388,631,1893,2.1996830427892236,63,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1151,944,6608,1.2192796610169492,94,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1232,1440,12960,0.8555555555555555,144,Expired CC,Yes,No
All,All,All,2024-10-17,1430,2612,10448,0.5474732006125574,261,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1500,2518,12590,0.5957108816521048,251,Expired CC,No,Yes
All,All,All,2024-10-19,1013,1046,4184,0.9684512428298279,104,Deaseaed,Yes,No
All,All,All,2024-10-20,1089,2715,24435,0.4011049723756906,271,Expired CC,Yes,Yes
All,All,All,2024-10-21,1129,169,1521,6.680473372781065,16,Deaseaed,No,Yes
All,All,All,2024-10-22,1388,631,1893,2.1996830427892236,63,Expired CC,Yes,No
All,All,All,2024-10-23,1151,944,6608,1.2192796610169492,94,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1429,662,4634,2.1586102719033233,66,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1166,1031,7217,1.13094083414161,103,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1123,216,1512,5.199074074074074,21,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1395,2667,24003,0.5230596175478065,266,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1005,2461,2461,0.4083705810646079,246,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1422,2157,2157,0.6592489568845619,215,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1488,2508,7524,0.5933014354066986,250,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1430,1353,2706,1.056910569105691,135,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1429,662,4634,2.1586102719033233,66,Expired CC,Yes,No
All,All,All,2024-10-17,1166,1031,7217,1.13094083414161,103,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1123,216,1512,5.199074074074074,21,Expired CC,No,Yes
All,All,All,2024-10-19,1395,2667,24003,0.5230596175478065,266,Deaseaed,Yes,No
All,All,All,2024-10-20,1005,2461,2461,0.4083705810646079,246,Expired CC,Yes,Yes
All,All,All,2024-10-21,1422,2157,2157,0.6592489568845619,215,Deaseaed,No,Yes
All,All,All,2024-10-22,1488,2508,7524,0.5933014354066986,250,Expired CC,Yes,No
All,All,All,2024-10-23,1430,1353,2706,1.056910569105691,135,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1055,694,2776,1.5201729106628241,69,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1115,2697,26970,0.41342232109751575,269,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1336,159,159,8.40251572327044,15,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1007,2031,20310,0.4958148695224028,203,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1294,2650,13250,0.48830188679245284,265,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1395,2970,2970,0.4696969696969697,297,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1004,816,4080,1.2303921568627452,81,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1409,2634,13170,0.5349278663629461,263,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1055,694,2776,1.5201729106628241,69,Expired CC,Yes,No
All,All,All,2024-10-17,1115,2697,26970,0.41342232109751575,269,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1336,159,159,8.40251572327044,15,Expired CC,No,Yes
All,All,All,2024-10-19,1007,2031,20310,0.4958148695224028,203,Deaseaed,Yes,No
All,All,All,2024-10-20,1294,2650,13250,0.48830188679245284,265,Expired CC,Yes,Yes
All,All,All,2024-10-21,1395,2970,2970,0.4696969696969697,297,Deaseaed,No,Yes
All,All,All,2024-10-22,1004,816,4080,1.2303921568627452,81,Expired CC,Yes,No
All,All,All,2024-10-23,1409,2634,13170,0.5349278663629461,263,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1330,2724,13620,0.4882525697503671,272,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1087,1802,5406,0.6032186459489456,180,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1095,2413,9652,0.4537919602154994,241,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1043,1224,4896,0.8521241830065359,122,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1213,1841,16569,0.6588810429114612,184,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1193,1092,3276,1.0924908424908424,109,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1495,2808,16848,0.5324074074074074,280,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1279,2704,10816,0.47300295857988167,270,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1330,2724,13620,0.4882525697503671,272,Expired CC,Yes,No
All,All,All,2024-10-17,1087,1802,5406,0.6032186459489456,180,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1095,2413,9652,0.4537919602154994,241,Expired CC,No,Yes
All,All,All,2024-10-19,1043,1224,4896,0.8521241830065359,122,Deaseaed,Yes,No
All,All,All,2024-10-20,1213,1841,16569,0.6588810429114612,184,Expired CC,Yes,Yes
All,All,All,2024-10-21,1193,1092,3276,1.0924908424908424,109,Deaseaed,No,Yes
All,All,All,2024-10-22,1495,2808,16848,0.5324074074074074,280,Expired CC,Yes,No
All,All,All,2024-10-23,1279,2704,10816,0.47300295857988167,270,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1371,2075,14525,0.6607228915662651,207,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1360,108,1080,12.592592592592593,10,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1325,1988,15904,0.6664989939637826,198,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1108,2541,20328,0.4360487996851633,254,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1142,2908,11632,0.39270976616231085,290,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1388,2872,2872,0.4832869080779944,287,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1201,2073,4146,0.5793535938253739,207,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1340,1347,10776,0.9948032665181886,134,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1371,2075,14525,0.6607228915662651,207,Expired CC,Yes,No
All,All,All,2024-10-17,1360,108,1080,12.592592592592593,10,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1325,1988,15904,0.6664989939637826,198,Expired CC,No,Yes
All,All,All,2024-10-19,1108,2541,20328,0.4360487996851633,254,Deaseaed,Yes,No
All,All,All,2024-10-20,1142,2908,11632,0.39270976616231085,290,Expired CC,Yes,Yes
All,All,All,2024-10-21,1388,2872,2872,0.4832869080779944,287,Deaseaed,No,Yes
All,All,All,2024-10-22,1201,2073,4146,0.5793535938253739,207,Expired CC,Yes,No
All,All,All,2024-10-23,1340,1347,10776,0.9948032665181886,134,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1193,1046,6276,1.1405353728489485,104,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1259,2147,21470,0.5863996273870516,214,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1239,2294,6882,0.540104620749782,229,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1104,486,1944,2.271604938271605,48,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1118,2492,4984,0.44863563402889245,249,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1265,720,5760,1.7569444444444444,72,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1350,890,2670,1.5168539325842696,89,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1173,837,4185,1.4014336917562724,83,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1193,1046,6276,1.1405353728489485,104,Expired CC,Yes,No
All,All,All,2024-10-17,1259,2147,21470,0.5863996273870516,214,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1239,2294,6882,0.540104620749782,229,Expired CC,No,Yes
All,All,All,2024-10-19,1104,486,1944,2.271604938271605,48,Deaseaed,Yes,No
All,All,All,2024-10-20,1118,2492,4984,0.44863563402889245,249,Expired CC,Yes,Yes
All,All,All,2024-10-21,1265,720,5760,1.7569444444444444,72,Deaseaed,No,Yes
All,All,All,2024-10-22,1350,890,2670,1.5168539325842696,89,Expired CC,Yes,No
All,All,All,2024-10-23,1173,837,4185,1.4014336917562724,83,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1329,2260,2260,0.5880530973451328,226,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1261,252,2520,5.003968253968254,25,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1144,1661,11627,0.6887417218543046,166,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1422,2605,20840,0.545873320537428,260,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1274,1877,3754,0.678742674480554,187,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1199,1771,12397,0.6770186335403726,177,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1028,788,7092,1.3045685279187818,78,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1475,1529,15290,0.9646827992151733,152,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1329,2260,2260,0.5880530973451328,226,Expired CC,Yes,No
All,All,All,2024-10-17,1261,252,2520,5.003968253968254,25,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1144,1661,11627,0.6887417218543046,166,Expired CC,No,Yes
All,All,All,2024-10-19,1422,2605,20840,0.545873320537428,260,Deaseaed,Yes,No
All,All,All,2024-10-20,1274,1877,3754,0.678742674480554,187,Expired CC,Yes,Yes
All,All,All,2024-10-21,1199,1771,12397,0.6770186335403726,177,Deaseaed,No,Yes
All,All,All,2024-10-22,1028,788,7092,1.3045685279187818,78,Expired CC,Yes,No
All,All,All,2024-10-23,1475,1529,15290,0.9646827992151733,152,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1366,1128,2256,1.2109929078014185,112,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1042,2835,25515,0.3675485008818342,283,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1025,2290,9160,0.44759825327510916,229,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1336,2831,14155,0.47191805015895444,283,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1144,2419,14514,0.4729226953286482,241,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1117,2189,19701,0.5102786660575606,218,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1432,604,1208,2.370860927152318,60,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1085,2747,21976,0.3949763378230797,274,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1366,1128,2256,1.2109929078014185,112,Expired CC,Yes,No
All,All,All,2024-10-17,1042,2835,25515,0.3675485008818342,283,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1025,2290,9160,0.44759825327510916,229,Expired CC,No,Yes
All,All,All,2024-10-19,1336,2831,14155,0.47191805015895444,283,Deaseaed,Yes,No
All,All,All,2024-10-20,1144,2419,14514,0.4729226953286482,241,Expired CC,Yes,Yes
All,All,All,2024-10-21,1117,2189,19701,0.5102786660575606,218,Deaseaed,No,Yes
All,All,All,2024-10-22,1432,604,1208,2.370860927152318,60,Expired CC,Yes,No
All,All,All,2024-10-23,1085,2747,21976,0.3949763378230797,274,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1065,1593,14337,0.6685499058380414,159,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1133,1841,5523,0.6154263986963606,184,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1166,2523,2523,0.46214823622671425,252,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1077,2187,2187,0.4924554183813443,218,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1424,2639,7917,0.5395983327017809,263,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1101,1132,3396,0.9726148409893993,113,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1397,1588,6352,0.8797229219143576,158,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1428,772,6948,1.849740932642487,77,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1065,1593,14337,0.6685499058380414,159,Expired CC,Yes,No
All,All,All,2024-10-17,1133,1841,5523,0.6154263986963606,184,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1166,2523,2523,0.46214823622671425,252,Expired CC,No,Yes
All,All,All,2024-10-19,1077,2187,2187,0.4924554183813443,218,Deaseaed,Yes,No
All,All,All,2024-10-20,1424,2639,7917,0.5395983327017809,263,Expired CC,Yes,Yes
All,All,All,2024-10-21,1101,1132,3396,0.9726148409893993,113,Deaseaed,No,Yes
All,All,All,2024-10-22,1397,1588,6352,0.8797229219143576,158,Expired CC,Yes,No
All,All,All,2024-10-23,1428,772,6948,1.849740932642487,77,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1236,1335,8010,0.9258426966292135,133,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1345,1233,2466,1.0908353609083536,123,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1420,1662,8310,0.8543922984356197,166,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1383,201,1809,6.880597014925373,20,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1016,247,1235,4.113360323886639,24,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1323,212,212,6.240566037735849,21,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1227,2893,11572,0.4241272035948842,289,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1456,2451,12255,0.5940432476540187,245,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1236,1335,8010,0.9258426966292135,133,Expired CC,Yes,No
All,All,All,2024-10-17,1345,1233,2466,1.0908353609083536,123,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1420,1662,8310,0.8543922984356197,166,Expired CC,No,Yes
All,All,All,2024-10-19,1383,201,1809,6.880597014925373,20,Deaseaed,Yes,No
All,All,All,2024-10-20,1016,247,1235,4.113360323886639,24,Expired CC,Yes,Yes
All,All,All,2024-10-21,1323,212,212,6.240566037735849,21,Deaseaed,No,Yes
All,All,All,2024-10-22,1227,2893,11572,0.4241272035948842,289,Expired CC,Yes,No
All,All,All,2024-10-23,1456,2451,12255,0.5940432476540187,245,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1279,376,3760,3.401595744680851,37,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1129,1106,1106,1.0207956600361663,110,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1062,2091,8364,0.5078909612625538,209,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1397,2941,8823,0.47500850051003063,294,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1246,2237,2237,0.556995976754582,223,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1247,2208,17664,0.5647644927536232,220,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1047,278,1668,3.7661870503597124,27,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1274,1918,13426,0.6642335766423357,191,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1279,376,3760,3.401595744680851,37,Expired CC,Yes,No
All,All,All,2024-10-17,1129,1106,1106,1.0207956600361663,110,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1062,2091,8364,0.5078909612625538,209,Expired CC,No,Yes
All,All,All,2024-10-19,1397,2941,8823,0.47500850051003063,294,Deaseaed,Yes,No
All,All,All,2024-10-20,1246,2237,2237,0.556995976754582,223,Expired CC,Yes,Yes
All,All,All,2024-10-21,1247,2208,17664,0.5647644927536232,220,Deaseaed,No,Yes
All,All,All,2024-10-22,1047,278,1668,3.7661870503597124,27,Expired CC,Yes,No
All,All,All,2024-10-23,1274,1918,13426,0.6642335766423357,191,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1097,1635,4905,0.6709480122324158,163,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1192,504,504,2.365079365079365,50,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1077,1378,4134,0.7815674891146589,137,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1462,1751,14008,0.8349514563106796,175,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1119,1018,9162,1.0992141453831041,101,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1401,489,3912,2.8650306748466257,48,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1479,2751,22008,0.5376226826608506,275,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1493,2289,11445,0.6522498907820009,228,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1097,1635,4905,0.6709480122324158,163,Expired CC,Yes,No
All,All,All,2024-10-17,1192,504,504,2.365079365079365,50,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1077,1378,4134,0.7815674891146589,137,Expired CC,No,Yes
All,All,All,2024-10-19,1462,1751,14008,0.8349514563106796,175,Deaseaed,Yes,No
All,All,All,2024-10-20,1119,1018,9162,1.0992141453831041,101,Expired CC,Yes,Yes
All,All,All,2024-10-21,1401,489,3912,2.8650306748466257,48,Deaseaed,No,Yes
All,All,All,2024-10-22,1479,2751,22008,0.5376226826608506,275,Expired CC,Yes,No
All,All,All,2024-10-23,1493,2289,11445,0.6522498907820009,228,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1061,2942,29420,0.36063902107409923,294,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1266,2446,7338,0.517579721995094,244,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1290,579,5790,2.227979274611399,57,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1172,513,1539,2.284600389863548,51,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1046,1096,6576,0.9543795620437956,109,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1381,2472,22248,0.5586569579288025,247,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1400,682,6138,2.0527859237536656,68,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1360,1980,7920,0.6868686868686869,198,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1061,2942,29420,0.36063902107409923,294,Expired CC,Yes,No
All,All,All,2024-10-17,1266,2446,7338,0.517579721995094,244,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1290,579,5790,2.227979274611399,57,Expired CC,No,Yes
All,All,All,2024-10-19,1172,513,1539,2.284600389863548,51,Deaseaed,Yes,No
All,All,All,2024-10-20,1046,1096,6576,0.9543795620437956,109,Expired CC,Yes,Yes
All,All,All,2024-10-21,1381,2472,22248,0.5586569579288025,247,Deaseaed,No,Yes
All,All,All,2024-10-22,1400,682,6138,2.0527859237536656,68,Expired CC,Yes,No
All,All,All,2024-10-23,1360,1980,7920,0.6868686868686869,198,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1332,164,164,8.121951219512194,16,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1437,1205,12050,1.1925311203319502,120,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1497,1167,8169,1.2827763496143958,116,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1464,1012,10120,1.4466403162055337,101,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1299,1420,14200,0.9147887323943662,142,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1462,1282,3846,1.140405616224649,128,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1485,1750,12250,0.8485714285714285,175,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1281,1420,2840,0.902112676056338,142,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1332,164,164,8.121951219512194,16,Expired CC,Yes,No
All,All,All,2024-10-17,1437,1205,12050,1.1925311203319502,120,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1497,1167,8169,1.2827763496143958,116,Expired CC,No,Yes
All,All,All,2024-10-19,1464,1012,10120,1.4466403162055337,101,Deaseaed,Yes,No
All,All,All,2024-10-20,1299,1420,14200,0.9147887323943662,142,Expired CC,Yes,Yes
All,All,All,2024-10-21,1462,1282,3846,1.140405616224649,128,Deaseaed,No,Yes
All,All,All,2024-10-22,1485,1750,12250,0.8485714285714285,175,Expired CC,Yes,No
All,All,All,2024-10-23,1281,1420,2840,0.902112676056338,142,Deaseaed,Yes,Yes
ST,Corporate,Digital,2024-10-16,1240,822,3288,1.508515815085158,82,Expired CC,Yes,No
BL,Corporate,Digital,2024-10-17,1414,1866,14928,0.7577706323687031,186,Deaseaed,Yes,Yes
FM,Corporate,Print,2024-10-18,1488,2310,16170,0.6441558441558441,231,Expired CC,No,Yes
BD,Corporate,Digital,2024-10-19,1205,1728,5184,0.6973379629629629,172,Deaseaed,Yes,No
ST,Individual,Digital,2024-10-20,1010,564,1692,1.7907801418439717,56,Expired CC,Yes,Yes
BL,Individual,Print,2024-10-21,1465,1618,14562,0.9054388133498146,161,Deaseaed,No,Yes
FM,Individual,Digital,2024-10-22,1311,2537,12685,0.5167520693732756,253,Expired CC,Yes,No
BD,Individual,Digital,2024-10-23,1012,1288,5152,0.7857142857142857,128,Deaseaed,Yes,Yes
All,All,All,2024-10-16,1240,822,3288,1.508515815085158,82,Expired CC,Yes,No
All,All,All,2024-10-17,1414,1866,14928,0.7577706323687031,186,Deaseaed,Yes,Yes
All,All,All,2024-10-18,1488,2310,16170,0.6441558441558441,231,Expired CC,No,Yes
